Date,Wsp_44m,Wdir_41m,ActPow,RePow,ActPow_std,Wsp_44m_std,Wdir_41m_std,stability
2.01801E+11,4.71803,200.743,64.6673,0.00086,33.4251,0.566131,6.4573,1
2.01801E+11,5.441,201.768,70.8152,-0.000656667,26.3829,0.765691,6.6694,1
2.01801E+11,5.32178,197.962,80.8037,-0.000616667,30.2002,0.603442,6.99113,1
2.01801E+11,5.95325,204.606,86.1123,-0.00237,43.1192,0.872915,5.47062,1
2.01801E+11,6.17765,204.398,110.857,0.00103333,29.9507,0.55016,4.93713,1
2.01801E+11,5.82405,200.735,106.185,-0.00135333,35.8439,0.499118,5.01009,1
2.01801E+11,5.26452,198.102,60.0936,3.33E-05,28.5554,0.483977,4.86096,1
2.01801E+11,4.69799,194.928,39.2994,-0.000123333,19.3254,0.364705,4.22145,1
2.01801E+11,4.58511,187.193,45.9785,-0.000296667,16.8142,0.389359,4.82421,1
2.01801E+11,5.19787,178.977,69.2233,-0.00317667,23.7812,0.567724,5.77281,1
2.01801E+11,4.73147,174.531,45.403,-0.000986667,22.4721,0.721936,8.83578,0
2.01801E+11,4.25939,186.383,30.9105,-0.00262333,22.0156,0.694051,8.12085,0
2.01801E+11,4.2884,185.266,37.2575,9.33E-05,17.355,0.512651,6.74072,1
2.01801E+11,4.54318,186.316,45.1114,-0.00121667,19.1346,0.503427,5.65015,1
2.01801E+11,4.63699,181.415,51.4054,-0.00153667,20.3003,0.573652,6.22121,1
2.01801E+11,5.37323,176.641,82.897,-0.00166,25.8741,0.754206,6.50718,1
2.01801E+11,4.90767,173.156,59.7532,-0.00187667,24.6365,0.561253,6.38924,1
2.01801E+11,4.82066,175.854,56.6224,-0.000623333,21.4591,0.605252,6.51306,1
2.01801E+11,5.44064,180.416,89.804,-0.000776667,32.1615,0.744366,7.54818,1
2.01801E+11,5.71451,192.515,86.0463,-0.00262,25.576,0.725965,7.36331,1
2.01801E+11,6.00551,207.322,107.389,-0.00169,33.5179,0.866063,8.33027,1
2.01801E+11,5.77299,217.772,137.774,-0.00339333,42.079,1.01948,8.41825,0
2.01801E+11,5.12527,218.814,112.611,-0.00198667,31.4281,0.781615,8.28627,0
2.01801E+11,4.88331,221.628,67.87,5.00E-05,27.8604,1.01173,10.5404,0
2.01801E+11,5.79854,234.962,111.159,-0.00312667,46.3833,1.12127,9.49825,0
2.01801E+11,5.15153,233.069,73.4272,0.00076,37.9772,0.946554,7.6818,0
2.01801E+11,4.43709,222.753,39.201,0.00134,16.6504,0.648836,8.59806,1
2.01801E+11,4.47842,218.081,48.2353,-0.00057,17.5417,0.666539,7.24134,0
2.01801E+11,4.37261,210.802,49.7949,-0.00226,16.4486,0.485151,7.14052,1
2.01801E+11,5.09888,202.043,65.9946,-0.00244333,23.6439,0.690103,5.79367,1
2.01801E+11,5.4757,207.272,75.1853,-0.00229,23.4007,0.617454,6.2565,1
2.01801E+11,6.11676,204.593,109.738,-0.00074,38.9995,0.838355,6.63358,1
2.01801E+11,7.24865,211.234,190.264,-0.00218333,54.329,1.02328,7.13112,1
2.01801E+11,6.60657,213.638,125.585,-0.000786667,39.5055,1.04431,7.07057,0
2.01801E+11,6.31339,210.597,158.937,-0.00304667,42.9086,0.79463,7.51213,1
2.01801E+11,6.17436,209.075,179.346,-0.000626667,78.9533,0.918448,6.74993,1
2.01801E+11,7.6808,211.855,315.886,0.000226667,72.4387,1.12472,8.35277,1
2.01801E+11,7.92048,219.884,267.371,-0.00291,79.0178,1.34492,9.59198,0
2.01801E+11,8.57473,224.645,406.633,0.0458533,145.704,1.99092,9.56348,0
2.01801E+11,7.35869,223.975,359.858,-0.00221,123.649,1.20758,8.02341,0
2.01801E+11,7.49221,226.579,272.996,0.00156667,116.421,1.29942,7.53789,0
2.01801E+11,7.76624,226.463,289.018,0.000353333,91.8907,1.48247,9.3793,0
2.01801E+11,8.56971,226.35,323.042,-0.00274,149.464,1.72436,8.95029,0
2.01801E+11,7.76326,225.257,332.687,-0.00178333,125.019,1.53652,9.11156,0
2.01801E+11,7.84239,220.928,413.183,0.00111333,177.167,1.47402,8.31041,0
2.01801E+11,7.55943,217.534,345.618,0.000936667,135.555,1.3777,9.83099,0
2.01801E+11,8.37383,219.104,327.83,-0.00179667,136.042,1.65442,9.09573,0
2.01801E+11,8.28038,218.639,385.547,0.00185333,136.774,1.6569,9.60061,0
2.01801E+11,7.98363,215.779,295.17,0.00184,104.284,1.31244,8.05276,0
2.01801E+11,7.98624,214.923,378.164,-0.000556667,108.894,1.34141,8.41957,0
2.01801E+11,7.1326,213.376,294.302,0.00292667,82.2344,1.14102,7.74959,0
2.01801E+11,7.40112,210.924,260.935,0.00195,72.5457,1.19173,7.53524,0
2.01801E+11,7.68409,205.559,276.987,0.00159,98.8096,1.17341,7.2512,0
2.01801E+11,8.6209,203.096,423.927,0.000793333,145.46,1.38066,7.13714,0
2.01801E+11,10.9296,215.016,584.475,0.00042,149.542,1.65429,11.74,0
2.01801E+11,9.58609,220.294,585.629,-0.00297333,158.978,1.73881,9.17863,0
2.01801E+11,8.88739,216.275,538.317,3.67E-05,149.203,1.53423,8.47408,0
2.01801E+11,8.91338,220.541,464.339,0.00091,165.266,1.93439,10.0503,0
2.01801E+11,8.33475,222.909,406.786,0.000116667,129.149,1.7211,8.61986,0
2.01801E+11,9.08063,225.914,443.862,-0.00507667,139.522,1.60984,8.50009,0
2.01801E+11,8.23144,232.878,400.201,0.00078,134.268,1.538,10.5025,0
2.01801E+11,9.03615,232.408,460.746,-0.000466667,169.891,1.76484,9.16911,0
2.01801E+11,8.82445,221.63,443.596,0.00158,135.585,1.46977,9.44338,0
2.01801E+11,8.82805,218.585,391.436,0.00305667,140.929,1.75979,8.5462,0
2.01801E+11,8.64678,220.612,400.073,0.000763333,142.807,1.60764,8.6088,0
2.01801E+11,8.34399,220.916,448.532,0.00269,183.01,1.37725,9.26005,0
2.01801E+11,7.30945,224.202,277.497,-0.000416667,148.141,1.52718,9.57672,0
